1|Tất cả các câu có đáp án bị nghiêm cấm, không cho phép hoặc không được phép thì chọn đáp án đó.
1|Tốc độ chậm đi về bên phải.
1|Chỉ sử dụng còi từ 5 giờ sáng đến 22 giờ tối.
1|Trong đô thị sử dụng đèn chiếu gần.
1|Không được phép lắp đặt còi đèn không đúng thiết kế, trừ phi được chấp thuận của cơ quan có thẩm quyền.
1|Không được vượt trên cầu hẹp có một làn xe.
1|Không được phép quay đầu xe ở phần đường dành cho người đi bộ qua đường.
1|Cấm lùi xe ở khu vực cấm dừng và nơi đường bộ giao nhau.
1|Xe mô tô không được kéo xe khác.
1|Độ tuổi lấy bằng theo hạng (cách nhau 3 tuổi): 16: Xe dưới 50cm3; 18: Hạng A, B1, B2; 21: Hạng C, FB; 24: Hạng D, FC; 27: Hạng E, FD.
1|Độ tuổi tối đa người lái xe ô tô hạng E: Nam 55 tuổi và nữ 50 tuổi.
1|A1 mô tô dưới 175 cm3 và xe 3 bánh của người khuyết tật;
1|A2 mô tô 175 cm3 trở lên;
1|A3 xe mô tô 3 bánh;
1|B1, B2 đến 9 chỗ ngồi, xe tải dưới 3.500 kg; B1 không hành nghề lái xe;
1|C đến 9 chỗ ngồi, xe trên 3.500 kg; D chở đến 30 người; E chở trên 30 người.
1|FC: C + kéo (ô tô đầu kéo, kéo sơ mi rơ moóc); FE: E + kéo (ô tô chở khách nối toa)
1|Biển nguy hiểm (hình tam giác vàng)
1|Biển cấm (vòng tròn đỏ)
1|Biển hiệu lệnh (vòng tròn xanh)
1|Biển chỉ dẫn (vuông hoặc hình chữ nhật xanh)
1|Biển phụ (vuông, chữ nhật trắng đen): Hiệu lực nằm ở biển phụ khi có đặt biển phụ
1|05 năm không cấp lại nếu sử dụng bằng lái đã khai báo mất.
1|Người điều khiển giao thông tay giang ngang thì trước mặt và sau lưng dừng lại.
1|Người điều khiển giao thông giơ tay thẳng đứng thì ở các hướng phải dừng lại.
1|Chuyển làn đường phải có tín hiệu báo trước.
1|Xe thô sơ phải đi làn đường nên phải trong cùng.
1|Tránh xe ngược chiều thì nhường đường qua đường hẹp và nhường xe lên dốc.
1|Giao nhau không có vòng xuyến thì nhường xe đến từ bên phải.
1|Đứng cách ray đường sắt 5m.
1|Vào cao tốc phải nhường đường cho xe đang chạy trên đường.
1|Xe thiết kế nhỏ hơn 70km/h không được vào cao tốc.
1|Trên cao tốc chỉ được dừng xe, đỗ xe ở nơi quy định.
1|Trong hầm chỉ được dừng xe, đỗ xe ở nơi quy định.
1|Xe quá tải trọng phải do cơ quan quản lý đường bộ cấp phép.
1|Trọng lượng xe kéo rơ moóc phải lớn hơn rơ moóc.
1|Kéo xe không hệ thống hãm phải dùng thanh nối cứng.
1|Xe gắn máy tối đa 40km/h.
1|Xe cơ giới không bao gồm xe gắn máy.
1|Đường có giải phân cách được xem là đường đôi.
1|Trong khu vực đông dân cư, đường hai chiều; đường một chiều có một làn xe cơ giới: 50km/h.
1|Trong khu vực đông dân cư, đường đôi; đường một chiều có hai làn xe cơ giới trở lên: 60km/h.
1|Ngoài khu vực dân cư; đường đôi; đường một chiều có hai làn xe cơ giới trở lên: ô tô kéo rơ moóc 60km/h; mô tô, xe buýt, ôtô đầu kéo: 70km/h; xe trên 30 chỗ, xe tải trên 3,5 tấn: 80km/h; xe con, xe đến 30 chỗ, tải dưới 3,5 tấn: 90km/h.
